,Country,Trade_Value
0,AU,6.91
1,BE,333.8
2,BZ,4.27
3,CM,3
4,CN,95.86
5,CW,0
6,DE,299.85
7,DJ,0.92
8,DO,6.02
9,EC,14.32
10,NC,0
11,NR,0
12,PE,43.8
13,RO,13.47
14,RS,3.74
15,SI,3.71
16,SY,0
17,TC,0
18,TF,0
19,TJ,0
20,TZ,0.56
21,FK,0
22,GQ,0
23,HN,5.89
24,IM,0
25,IQ,0
26,JO,2.07
27,KM,0
28,LB,0.59
29,LK,4.65
30,LV,5.67
31,MA,36.52
32,MD,0.16
33,MG,0.14
34,AR,68.84
35,CD,0.1
36,CG,0
37,D5,1217
38,GE,1.2
39,HR,1.29
40,HU,21.96
41,KZ,0
42,LS,0
43,LY,0
44,MS,0
45,RU,0.81
46,TO,0
47,ZM,0
48,CU,0
49,FI,2.27
50,FO,28.82
51,GU,0
52,GY,0.01
53,HM,0
54,HT,0
55,IS,35.1
56,JE,0.5
57,MK,0.75
58,MM,3.12
59,NA,0.12
60,NZ,9.17
61,PL,246.8
62,PS,0.72
63,SZ,0.69
64,TM,0
65,VE,0.02
66,VU,0
67,XK,0.17
68,ZA,27.27
69,AM,0
70,BW,0
71,DK,108.78
72,GG,0.15
73,IT,278.52
74,KP,0
75,MO,0
76,MZ,0.3
77,NI,1.75
78,NP,0.01
79,PY,0.14
80,SG,5.25
81,ST,0
82,TW,3.65
83,US,56.45
84,VA,0
85,VI,0.07
86,GS,0
87,KH,1.67
88,ML,0
89,MX,7.14
90,NG,1.15
91,PK,9.81
92,UA,2.13
93,UY,4.04
94,VG,0
95,ZW,0.17
96,AZ,0
97,CA,51.13
98,CC,0
99,CI,9.97
100,CR,15.55
101,CV,0
102,CZ,19.12
103,DM,0
104,FJ,0.02
105,IR,0.19
106,ME,0
107,MH,0.01
108,MP,0
109,MV,0.68
110,MY,9.77
111,PG,1.08
112,RW,1.6
113,SL,0.01
114,SM,0
115,TT,0.05
116,UG,0.65
117,VC,0.01
118,BG,8.63
119,CH,32.36
120,ER,0
121,GD,0.01
122,GN,0
123,BA,0.07
124,CY,9.78
125,DZ,0
126,GM,0
127,IO,0
128,LC,0.06
129,AE,1.49
130,AL,0.28
131,BB,0.04
132,BD,5.46
133,BM,0
134,BO,0.73
135,AF,0.11
136,AG,0
137,AQ,0
138,BJ,0
139,BR,95.38
140,BT,0.02
141,BY,0
142,CX,0
143,SH,0
144,SV,0.1
145,TH,86.07
146,TR,62.99
147,AI,0
148,BV,0
149,CK,0
150,CO,21.89
151,EE,2.2
152,FR,374.83
153,GT,4.54
154,IL,6.76
155,JP,5.39
156,KW,0
157,AW,0
158,B5,3122
159,BF,0.15
160,BH,0
161,BS,0
162,CF,0
163,CL,12.71
164,GL,0.18
165,GR,33.27
166,KI,0
167,PA,1.8
168,BN,0
169,EG,16.87
170,GA,0
171,GI,0
172,HK,6.34
173,IE,416.75
174,JM,1.45
175,KG,0
176,KN,0
177,LT,15.45
178,NE,0
179,PW,0
180,SE,15.91
181,SK,3.24
182,SN,1.12
183,TD,0
184,KY,0.13
185,LA,0.11
186,MN,0
187,NO,60.55
188,OM,0.13
189,PF,0
190,TG,0.04
191,TK,0
192,UM,0
193,WS,0
194,ES,299.75
195,ET,0.51
196,FM,0
197,GH,8.98
198,ID,29.31
199,IN,63.26
200,KE,13.47
201,LU,0.29
202,MR,0
203,MT,0.45
204,MW,0.74
205,SC,11.32
206,SR,0.08
207,TL,0.05
208,AS,0
209,AT,14.85
210,BI,0
211,BQ,0
212,GW,0
213,KR,7.37
214,LI,0
215,LR,0.01
216,MU,6.13
217,NU,0
218,PH,6.87
219,PN,0
220,SB,0
221,SX,0
222,WF,0
223,TN,0.7
224,AO,0
225,AD,0
226,NF,0
227,NL,560.4
228,PT,30.95
229,QA,0.01
230,SA,0.14
231,SD,0.01
232,SO,0
233,SS,0
234,TV,0
235,UZ,0.05
236,VN,51.24
237,W1,4339
238,YE,0
