,Country,Trade_Value
0,TC,0
1,TG,0
2,AQ,0
3,AZ,0
4,BG,1.56
5,CY,0
6,ES,27.35
7,FM,0
8,GW,0
9,NC,0
10,NE,0
11,NL,120.2
12,NP,0
13,PA,0
14,QA,0
15,SC,0
16,SK,0.1
17,SL,0
18,ST,0
19,TO,0
20,TV,0
21,UM,0
22,AM,0
23,BD,0
24,DZ,0
25,ER,0
26,GU,0
27,IM,0
28,IR,0
29,IS,0.34
30,VC,0
31,WF,0
32,WS,0
33,VG,0
34,VI,0
35,XK,0
36,AI,0
37,AL,0
38,AO,0
39,AR,0.58
40,AS,0
41,AT,0.99
42,BI,0
43,FJ,0
44,GQ,0
45,GR,1.37
46,GS,0
47,ID,0
48,BS,0
49,CH,0
50,CN,7.4
51,D5,115
52,DJ,0
53,DK,39.59
54,FO,0
55,MA,0
56,NO,0
57,PF,0
58,PH,0
59,SB,0
60,SE,1.7
61,SO,0
62,TD,0
63,SI,0.16
64,TT,0
65,US,0.33
66,ZM,0
67,AF,0
68,BH,0
69,BT,0
70,CD,0
71,CR,0
72,CX,0
73,FI,0
74,GI,0
75,KY,0
76,LU,0.04
77,MH,0
78,NU,0
79,TK,0
80,TL,0
81,VE,0
82,SM,0
83,SN,0
84,HK,0.2
85,HM,0
86,IN,0
87,JP,0.77
88,MW,0
89,PK,0
90,TN,0
91,UA,1.29
92,VN,0.26
93,W1,708
94,AG,0
95,BJ,0
96,BN,0
97,TZ,0
98,UG,0
99,VU,0
100,YE,0
101,KG,0
102,LK,0
103,LR,0
104,MD,0
105,MK,0
106,MN,0
107,MP,0
108,MS,0
109,OM,0
110,PG,0
111,B5,593
112,EG,0
113,GA,0
114,GM,0
115,IT,20.07
116,JM,0
117,LC,0
118,LS,0
119,MX,0
120,AD,0
121,AU,3.72
122,AW,0
123,BB,0
124,AE,0
125,CL,0.09
126,CM,0
127,DM,0
128,GD,0
129,GN,0
130,HN,0
131,KE,0
132,NG,0
133,PL,99.17
134,PS,0
135,SA,0
136,TR,0
137,IL,0
138,MR,0
139,MT,0
140,MZ,0
141,RS,0
142,SX,0
143,SZ,0
144,TM,0
145,UY,2.22
146,UZ,0
147,ZW,0
148,BQ,0
149,BR,33.87
150,BZ,0
151,CA,0.15
152,CC,0
153,CF,0
154,CG,0
155,CU,0
156,GE,0
157,GG,0
158,GL,0
159,GY,0
160,IQ,0
161,BF,0
162,CI,0
163,CV,0
164,CW,0
165,EE,0
166,FK,0
167,GH,0
168,HR,0.37
169,FR,45.37
170,HU,7.59
171,KM,0
172,LT,0.49
173,ME,0
174,PN,0
175,PW,0
176,SY,0
177,TF,0
178,TH,56.63
179,VA,0
180,JE,0
181,KW,0
182,MM,0
183,MY,0.46
184,NR,0
185,NZ,6.15
186,PE,0
187,PY,0.14
188,HT,0
189,IO,0
190,JO,0
191,KI,0
192,KN,0
193,LA,0
194,MU,0
195,MV,0
196,RW,0
197,SD,0
198,SG,0.2
199,SR,0
200,CK,0
201,EC,0
202,ET,0
203,KH,0
204,KP,0
205,LB,0
206,MG,0
207,ML,0
208,MO,0
209,NA,0
210,NI,0
211,PT,0.67
212,RU,0
213,SH,0
214,SS,0
215,SV,0
216,TJ,0
217,TW,0
218,ZA,0.19
219,LV,0.27
220,LY,0
221,NF,0
222,RO,5.94
223,BE,32.17
224,BM,0
225,BO,0
226,BY,0
227,CZ,0.29
228,DE,48.45
229,DO,0
230,BA,0
231,BV,0
232,BW,0
233,CO,0
234,GT,0
235,IE,139.1
236,KR,0
237,KZ,0
238,LI,0
