dataset_name,latest_version
wellbeing-quarterly,https://api.beta.ons.gov.uk/v1/datasets/wellbeing-quarterly/editions/time-series/versions/9
wellbeing-local-authority,https://api.beta.ons.gov.uk/v1/datasets/wellbeing-local-authority/editions/time-series/versions/4
weekly-deaths-region,https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-region/editions/time-series/versions/99
weekly-deaths-local-authority,https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-local-authority/editions/2023/versions/50
weekly-deaths-health-board,https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-health-board/editions/2023/versions/50
weekly-deaths-age-sex,https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-age-sex/editions/2025/versions/43
uk-spending-on-cards,https://api.beta.ons.gov.uk/v1/datasets/uk-spending-on-cards/editions/time-series/versions/130
uk-business-by-enterprises-and-local-units,https://api.beta.ons.gov.uk/v1/datasets/uk-business-by-enterprises-and-local-units/editions/2022/versions/1
traffic-camera-activity,https://api.beta.ons.gov.uk/v1/datasets/traffic-camera-activity/editions/time-series/versions/105
trade,https://api.beta.ons.gov.uk/v1/datasets/trade/editions/time-series/versions/63
tax-benefits-statistics,https://api.beta.ons.gov.uk/v1/datasets/tax-benefits-statistics/editions/time-series/versions/3
suicides-in-the-uk,https://api.beta.ons.gov.uk/v1/datasets/suicides-in-the-uk/editions/2023/versions/1
sexual-orientation-by-region,https://api.beta.ons.gov.uk/v1/datasets/sexual-orientation-by-region/editions/time-series/versions/3
sexual-orientation-by-age-and-sex,https://api.beta.ons.gov.uk/v1/datasets/sexual-orientation-by-age-and-sex/editions/time-series/versions/3
retail-sales-index-large-and-small-businesses,https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index-large-and-small-businesses/editions/time-series/versions/43
retail-sales-index-all-businesses,https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index-all-businesses/editions/time-series/versions/43
retail-sales-index,https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index/editions/time-series/versions/43
regional-gdp-by-year,https://api.beta.ons.gov.uk/v1/datasets/regional-gdp-by-year/editions/time-series/versions/6
regional-gdp-by-quarter,https://api.beta.ons.gov.uk/v1/datasets/regional-gdp-by-quarter/editions/time-series/versions/6
projections-older-people-sex-ratios,https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-sex-ratios/editions/time-series/versions/1
projections-older-people-in-single-households,https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-in-single-households/editions/time-series/versions/2
output-in-the-construction-industry,https://api.beta.ons.gov.uk/v1/datasets/output-in-the-construction-industry/editions/time-series/versions/49
online-job-advert-estimates,https://api.beta.ons.gov.uk/v1/datasets/online-job-advert-estimates/editions/feb-2020-index-by-category/versions/175
older-people-sex-ratios,https://api.beta.ons.gov.uk/v1/datasets/older-people-sex-ratios/editions/time-series/versions/1
older-people-net-internal-migration,https://api.beta.ons.gov.uk/v1/datasets/older-people-net-internal-migration/editions/time-series/versions/1
older-people-economic-activity,https://api.beta.ons.gov.uk/v1/datasets/older-people-economic-activity/editions/time-series/versions/1
mid-year-pop-est,https://api.beta.ons.gov.uk/v1/datasets/mid-year-pop-est/editions/mid-2022-england-wales/versions/3
life-expectancy-by-local-authority,https://api.beta.ons.gov.uk/v1/datasets/life-expectancy-by-local-authority/editions/time-series/versions/1
labour-market,https://api.beta.ons.gov.uk/v1/datasets/labour-market/editions/PWT24/versions/1
index-private-housing-rental-prices,https://api.beta.ons.gov.uk/v1/datasets/index-private-housing-rental-prices/editions/time-series/versions/41
house-prices-local-authority,https://api.beta.ons.gov.uk/v1/datasets/house-prices-local-authority/editions/time-series/versions/10
health-accounts,https://api.beta.ons.gov.uk/v1/datasets/health-accounts/editions/time-series/versions/2
gva-by-industry-by-local-authority,https://api.beta.ons.gov.uk/v1/datasets/gva-by-industry-by-local-authority/editions/time-series/versions/1
